episode,cumulative_reward,episode_length,time,epsilon
0,28.0,28,0.023438,0.8765301117810599
1,26.0,26,0.007812,0.8553172905265286
2,14.0,14,0.007812,0.8441214025406315
3,26.0,26,0.007812,0.823740347904652
4,28.0,28,0.015625,0.8023761132272331
5,20.0,20,0.351562,0.787478068013027
6,19.0,19,0.078125,0.7735982604410785
7,23.0,23,0.046875,0.757145433252671
8,21.0,21,0.03125,0.7424502189497024
9,14.0,14,0.023438,0.7328234604305826
10,10.0,10,0.015625,0.7260292534793299
11,45.0,45,0.078125,0.6962822639717497
12,13.0,13,0.023438,0.6879349695115078
13,24.0,24,0.046875,0.6728067944889327
14,33.0,33,0.054688,0.6525895888420842
15,9.0,9,0.007812,0.6471906143706554
16,13.0,13,0.015625,0.6394773810282924
17,12.0,12,0.015625,0.6324459255659898
18,15.0,15,0.03125,0.6237744354482132
19,17.0,17,0.03125,0.6141027126158716
20,16.0,16,0.023438,0.6051488908025743
21,11.0,11,0.015625,0.5990757166990309
22,12.0,12,0.023438,0.5925261838897036
23,13.0,13,0.023438,0.5855189889506255
24,12.0,12,0.023438,0.5791311646825338
25,19.0,19,0.03125,0.5691725787060016
26,12.0,12,0.023438,0.5629797391129845
27,10.0,10,0.015625,0.5578755054255019
28,18.0,18,0.023438,0.5488155307182047
29,13.0,13,0.023438,0.5423728966736647
30,13.0,13,0.023438,0.5360134748205578
31,15.0,15,0.023438,0.528777676853704
32,13.0,13,0.023438,0.5225938490241612
33,11.0,11,0.023438,0.5174238040633613
34,11.0,11,0.015625,0.5123103179531514
35,9.0,9,0.007812,0.5081681926149035
36,22.0,22,0.039062,0.4981985604365912
37,12.0,12,0.015625,0.49285231931283424
38,14.0,14,0.023438,0.48669558454549855
39,13.0,13,0.023438,0.4810552833382723
40,12.0,12,0.023438,0.47591353214623155
41,9.0,9,0.015625,0.4720975082226981
42,15.0,15,0.023438,0.4658132950268818
43,9.0,9,0.007812,0.4620877654022417
44,14.0,14,0.023438,0.4563587334839209
45,11.0,11,0.015625,0.4519132822224126
46,10.0,10,0.015625,0.44791417824588203
47,11.0,11,0.015625,0.44356110806454385
48,10.0,10,0.015625,0.43964510960944
49,12.0,12,0.023438,0.43499731086007404
50,14.0,14,0.023438,0.4296449027869247
51,12.0,12,0.023438,0.4251163893759778
52,9.0,9,0.015625,0.4217554886110855
53,9.0,9,0.015625,0.4184247002440286
54,9.0,9,0.015625,0.41512375447912825
55,8.0,8,0.015625,0.4122144173084264
56,8.0,8,0.015625,0.4093282619840684
57,16.0,16,0.03125,0.4036247594865046
58,12.0,12,0.023438,0.39940662181621883
59,9.0,9,0.015625,0.3962760708304992
60,10.0,10,0.015625,0.3928305663570509
61,9.0,9,0.015625,0.38975893433741393
62,10.0,10,0.015625,0.3863782764555512
63,9.0,9,0.015625,0.3833644545094792
64,11.0,11,0.015625,0.37971754031094423
65,9.0,9,0.023438,0.3767633960378218
66,11.0,11,0.015625,0.37318869557875417
67,9.0,9,0.015625,0.3702930472814827
68,12.0,12,0.015625,0.36647249984518193
69,10.0,10,0.015625,0.363323545857906
70,11.0,11,0.015625,0.35989587361310754
71,12.0,12,0.015625,0.3561993466497475
72,13.0,13,0.023438,0.3522445172315432
73,10.0,10,0.015625,0.3492371340366869
74,9.0,9,0.015625,0.34655608265863036
75,12.0,12,0.023438,0.34301867655213714
76,12.0,12,0.023438,0.3395234656414062
77,9.0,9,0.015625,0.33692944505289707
78,14.0,14,0.023438,0.3329404211433676
79,12.0,12,0.023438,0.3295654265570032
80,13.0,13,0.023438,0.32595459725459724
81,11.0,11,0.023438,0.32293573088997657
82,11.0,11,0.015625,0.3199498900817992
83,14.0,14,0.023438,0.31619692368369173
84,9.0,9,0.015625,0.31381190007566223
85,15.0,15,0.03125,0.30988425257390495
86,17.0,17,0.03125,0.3055035616540985
87,13.0,13,0.023438,0.30220351214993846
88,13.0,13,0.023438,0.2989460856396006
89,11.0,11,0.023438,0.29622268486274017
90,10.0,10,0.015625,0.2937727282136297
91,17.0,17,0.023438,0.2896636182294523
92,10.0,10,0.015625,0.28727892538379335
93,10.0,10,0.015625,0.28491796062840585
94,14.0,14,0.023438,0.2816520240789107
95,12.0,12,0.023438,0.27888881221958245
96,18.0,18,0.03125,0.27480567210485035
97,13.0,13,0.023438,0.2719021123972706
98,13.0,13,0.023438,0.26903605467483444
99,9.0,9,0.015625,0.267073574589866
100,14.0,14,0.023438,0.26405571882742807
101,15.0,15,0.03125,0.2608688443572155
102,9.0,9,0.015625,0.2589795393831751
103,14.0,14,0.023438,0.25607421058693297
104,12.0,12,0.015625,0.25361609823130105
105,14.0,14,0.023438,0.2507853344382716
106,16.0,16,0.03125,0.2475983330871404
107,11.0,11,0.023438,0.24543666240871526
108,12.0,12,0.023438,0.24310543778219817
109,12.0,12,0.015625,0.24080202067240947
110,13.0,13,0.023438,0.23833764753554837
111,15.0,15,0.023438,0.23553366526402203
112,15.0,15,0.023438,0.2327714288499061
113,16.0,16,0.03125,0.22987035645673332
114,11.0,11,0.023438,0.2279026249005216
115,10.0,10,0.015625,0.226132464206302
116,10.0,10,0.023438,0.22437991690528059
117,14.0,14,0.023438,0.2219556078290591
118,12.0,12,0.023438,0.2199044719638728
119,10.0,10,0.023438,0.21821389422107246
120,14.0,14,0.023438,0.21587530800229238
121,12.0,12,0.023438,0.21389669969932534
122,11.0,11,0.023438,0.21210371549497758
123,10.0,10,0.015625,0.21049075657592503
124,13.0,13,0.023438,0.20841787963349845
125,15.0,15,0.023438,0.20605934467356019
126,14.0,14,0.03125,0.20388973654186926
127,15.0,15,0.023438,0.2015986168497651
128,13.0,13,0.023438,0.1996405895834224
129,15.0,15,0.023438,0.19741273144787108
130,17.0,17,0.023438,0.1949278959577564
131,26.0,26,0.046875,0.19120833449480812
132,14.0,14,0.023438,0.189245191874779
133,12.0,12,0.023438,0.1875842352435011
134,15.0,15,0.03125,0.18553587283952938
135,11.0,11,0.023438,0.1840531481747279
136,12.0,12,0.023438,0.18245412373153758
137,10.0,10,0.015625,0.18113618317980046
138,18.0,18,0.03125,0.1787968490514001
139,15.0,15,0.023438,0.17687931378378763
140,14.0,14,0.03125,0.17511537973995006
141,16.0,16,0.03125,0.17312946336117638
142,13.0,13,0.023438,0.17153913983737895
143,20.0,20,0.039062,0.16913250362344306
144,19.0,19,0.03125,0.16689035392763862
145,17.0,17,0.03125,0.16492001325869737
146,16.0,16,0.03125,0.16309592466899964
147,15.0,15,0.023438,0.16141214571188012
148,19.0,19,0.039062,0.15931529807568506
149,19.0,19,0.039062,0.15725791444928294
150,16.0,16,0.03125,0.15555544390169188
151,19.0,19,0.03125,0.1535688231287183
152,16.0,16,0.023438,0.1519249083469454
153,16.0,16,0.023438,0.15030708689835992
154,12.0,12,0.015625,0.149110595163853
155,20.0,20,0.03125,0.1471480738902516
156,20.0,20,0.03125,0.14522441314153128
157,19.0,19,0.039062,0.1434322289561531
158,22.0,22,0.039062,0.1413991656154257
159,24.0,24,0.039062,0.1392316992741366
160,21.0,21,0.039062,0.13737737216999343
161,32.0,32,0.0625,0.13462556007142235
162,28.0,28,0.046875,0.13228891014749117
163,32.0,32,0.054688,0.12969735110996888
164,77.0,77,0.140625,0.12379096875203455
165,54.0,54,0.101562,0.11991193296554845
166,42.0,42,0.078125,0.1170364398220737
167,41.0,41,0.078125,0.11434352770921899
168,64.0,64,0.117188,0.11035455067869143
169,120.0,120,0.234375,0.10352968444581281
170,99.0,99,0.1875,0.09848412134959653
171,75.0,75,0.148438,0.0949808277724513
172,74.0,74,0.140625,0.09177242151782558
173,88.0,88,0.171875,0.08825354935202026
174,100.0,100,0.195312,0.08461324282639315
175,98.0,98,0.1875,0.08138205866391762
176,178.0,178,0.34375,0.07626497623224592
177,151.0,151,0.296875,0.07258387936863538
178,175.0,175,0.335938,0.06895819609220583
179,149.0,149,0.289062,0.06633379622724266
180,98.0,98,0.1875,0.06480901844356948
181,145.0,145,0.28125,0.06281013109277574
182,123.0,123,0.242188,0.061327533437982126
183,119.0,119,0.226562,0.06005667254963236
184,135.0,135,0.257812,0.05878667482525007
185,179.0,179,0.34375,0.057346590657474994
186,291.0,291,0.5625,0.0554916916964438
187,167.0,167,0.320312,0.05464706737911441
188,134.0,134,0.257812,0.05406427895931572
189,110.0,110,0.210938,0.05364091982712247
190,156.0,156,0.296875,0.05311502241949869
191,144.0,144,0.273438,0.05269725974797365
192,130.0,130,0.25,0.05236845146070161
193,130.0,130,0.25,0.05207972640599921
194,114.0,114,0.226562,0.051855652431811526
195,118.0,118,0.226562,0.05164911099117562
196,122.0,122,0.234375,0.05145970790331885
197,162.0,162,0.3125,0.05124139574757538
198,130.0,130,0.25,0.051090063933910156
199,93.0,93,0.179688,0.05099325917148618
200,149.0,149,0.289062,0.05085576142524262
201,138.0,138,0.265625,0.050745452657975365
202,121.0,121,0.234375,0.050660496370234946
203,167.0,167,0.320312,0.050558911771782435
204,139.0,139,0.273438,0.050486380689240336
205,127.0,127,0.25,0.05042837185071498
206,181.0,181,0.351562,0.050357448618906536
207,95.0,95,0.1875,0.050325054099496655
208,89.0,89,0.171875,0.05029737430409674
209,143.0,143,0.273438,0.050257750388060816
210,124.0,124,0.242188,0.05022769149679263
211,124.0,124,0.234375,0.05020113807820703
212,125.0,125,0.242188,0.05017750373100952
213,102.0,102,0.203125,0.050160291114633083
214,130.0,130,0.257812,0.05014075089537647
215,113.0,113,0.21875,0.050125711755117416
216,118.0,118,0.234375,0.050111719540540105
217,84.0,84,0.164062,0.05010271843748916
218,94.0,94,0.179688,0.050093502823010685
219,101.0,101,0.203125,0.050084520290387444
220,98.0,98,0.1875,0.050076630228624734
221,118.0,118,0.226562,0.05006810098168976
222,106.0,106,0.210938,0.05006125170148994
223,134.0,134,0.265625,0.05005357012956315
224,107.0,107,0.210938,0.05004813413671791
225,111.0,111,0.21875,0.050043077104095106
226,104.0,104,0.203125,0.050038822175950154
227,104.0,104,0.203125,0.05003498752706721
228,95.0,95,0.179688,0.050031816710158904
229,111.0,111,0.210938,0.050028474006784646
230,92.0,92,0.171875,0.05002597128821645
231,112.0,112,0.21875,0.05002321948108981
232,109.0,109,0.210938,0.05002082161497176
233,93.0,93,0.179688,0.05001897252022793
234,115.0,115,0.226562,0.05001691146219577
235,123.0,123,0.242188,0.05001495419150049
236,120.0,120,0.234375,0.050013263178056364
237,101.0,101,0.195312,0.050011989024766196
238,106.0,106,0.203125,0.050010783224381114
239,112.0,112,0.21875,0.05000964067983527
240,103.0,103,0.203125,0.050008697117322094
241,121.0,121,0.234375,0.05000770594129794
242,124.0,124,0.242188,0.050006807273197625
243,99.0,99,0.195312,0.050006165638060276
244,113.0,113,0.21875,0.05000550684370357
245,113.0,113,0.21875,0.050004918441089
246,149.0,149,0.296875,0.050004237576935735
247,97.0,97,0.195312,0.05000384583839948
248,141.0,141,0.28125,0.05000334006954446
249,114.0,114,0.226562,0.050002980203624245
250,103.0,103,0.203125,0.0500026885220759
251,136.0,136,0.265625,0.050002346656686236
252,116.0,116,0.234375,0.050002089639636677
253,104.0,104,0.210938,0.050001883236103065
254,128.0,128,0.257812,0.05000165697164901
255,155.0,155,0.3125,0.05000141905566888
256,138.0,138,0.273438,0.050001236137536674
257,132.0,132,0.265625,0.050001083277998945
258,116.0,116,0.234375,0.050000964632218
259,169.0,169,0.34375,0.0500008146404966
260,105.0,105,0.210938,0.050000733440816174
261,141.0,141,0.28125,0.05000063698550961
262,134.0,134,0.265625,0.050000557101198
263,153.0,153,0.304688,0.05000047806509606
264,142.0,142,0.289062,0.05000041477943933
265,109.0,109,0.21875,0.0500003719453398
266,100.0,100,0.203125,0.05000033655006091
267,159.0,159,0.320312,0.05000028707597657
268,138.0,138,0.28125,0.05000025007150762
269,120.0,120,0.242188,0.05000022179353075
270,106.0,106,0.21875,0.05000019948656834
271,141.0,141,0.28125,0.05000017325195243
272,166.0,166,0.335938,0.050000146752413877
273,115.0,115,0.226562,0.05000013081013326
274,120.0,120,0.242188,0.050000116018180524
275,183.0,183,0.367188,0.05000009661624623
276,183.0,183,0.367188,0.050000080458933185
277,134.0,134,0.273438,0.050000070368583574
278,107.0,107,0.21875,0.05000006322797891
279,123.0,123,0.25,0.05000005591020421
280,191.0,191,0.382812,0.050000046189241705
281,112.0,112,0.226562,0.05000004129522631
282,132.0,132,0.265625,0.05000003618869971
283,121.0,121,0.242188,0.0500000320644169
284,156.0,156,0.3125,0.050000027433006564
285,119.0,119,0.234375,0.050000024355237226
286,121.0,121,0.242188,0.050000021579567275
287,117.0,117,0.242188,0.050000019196863525
288,131.0,131,0.265625,0.050000016839829894
289,153.0,153,0.3125,0.050000014450758544
290,147.0,147,0.296875,0.05000001247525282
291,113.0,113,0.226562,0.050000011142280296
292,159.0,159,0.320312,0.05000000950432452
293,152.0,152,0.304688,0.05000000816410338
294,123.0,123,0.25,0.050000007219219954
295,139.0,139,0.28125,0.05000000628236755
296,147.0,147,0.296875,0.05000000542353007
297,129.0,129,0.257812,0.05000000476714173
298,218.0,218,0.4375,0.05000000383337995
299,163.0,163,0.328125,0.05000000325680583
300,134.0,134,0.28125,0.05000000284837002
301,135.0,135,0.273438,0.05000000248866621
302,136.0,136,0.273438,0.05000000217221397
303,113.0,113,0.234375,0.050000001940114336
304,123.0,123,0.242188,0.05000000171557261
305,177.0,177,0.359375,0.050000001437272054
306,124.0,124,0.25,0.05000000126965716
307,119.0,119,0.242188,0.05000000112721153
308,141.0,141,0.28125,0.050000000978971164
309,113.0,113,0.226562,0.05000000087436874
310,185.0,185,0.375,0.050000000726691606
