episode,cumulative_reward,episode_length,time,epsilon
0,-6.9000006,50,0.0,0.858545010825607
1,-8.700001,50,0.0,0.8191118053305656
2,-8.1,50,0.125,0.7816017799612992
3,-7.500001,50,0.125,0.7459211401162845
4,-8.700001,50,0.125,0.7119806656106942
5,-7.500001,50,0.125,0.6796954875794602
6,-8.1,50,0.125,0.6489848762609065
7,-9.3,50,0.125,0.6197720391302934
8,-8.700001,50,0.125,0.5919839288785074
9,-8.700001,50,0.125,0.5655510607557385
10,-8.700001,50,0.125,0.5404073388234136
11,-8.700001,50,0.1875,0.5164898906799225
12,-9.3,50,0.125,0.4937389102468636
13,-9.3,50,0.125,0.4720975082226981
14,-9.3,50,0.1875,0.45151156982986246
15,-9.3,50,0.125,0.4319296194996383
16,-8.700001,50,0.125,0.4133026921564177
17,-9.3,50,0.125,0.3955842107795092
18,-9.3,50,0.125,0.378729869936326
19,-8.700001,50,0.1875,0.36269752499572594
20,-9.3,50,0.125,0.347447086744482
21,-8.700001,50,0.1875,0.3329404211433676
22,-9.3,50,0.125,0.3191412539721953
23,-9.3,50,0.125,0.3060150801253718
24,-9.3,50,0.1875,0.29352907733116157
25,-9.3,50,0.125,0.2816520240789107
26,-8.700001,50,0.1875,0.2703542215490078
27,-8.700001,50,0.125,0.2596074193503655
28,-8.700001,50,0.1875,0.249384744879728
29,-9.3,50,0.125,0.23966063612616534
30,-8.700001,50,0.125,0.2304107777527316
31,-9.3,50,0.1875,0.22161204029545706
32,-9.3,50,0.125,0.213242422327641
33,-9.3,50,0.1875,0.20528099544482448
34,-8.700001,50,0.125,0.19770785193287838
35,-8.1,50,0.1875,0.19050405498834855
36,-8.700001,50,0.125,0.1836515913665835
37,-8.700001,50,0.125,0.17713332633923978
38,-8.1,50,0.125,0.17093296084853654
39,-8.700001,50,0.125,0.1650349907511208
40,-9.3,50,0.1875,0.1594246680496336
41,-8.700001,50,0.125,0.1540879640150346
42,-8.700001,50,0.1875,0.14901153410747242
43,-8.1,50,0.125,0.14418268460798378
44,-8.1,50,0.1875,0.13958934087758468
45,-8.700001,50,0.125,0.1352200171643832
46,-8.1,50,0.125,0.13106378788321715
47,-7.500001,50,0.1875,0.12711026029600064
48,-8.700001,50,0.125,0.12334954852446492
49,-8.700001,50,0.1875,0.11977224883031398
50,-5.7000012,50,0.125,0.1163694161009802
51,-5.7000012,50,0.1875,0.1131325414821838
52,-6.9000006,50,0.125,0.11005353110136515
53,-8.700001,50,0.125,0.10712468582878729
54,-6.9000006,50,0.125,0.10433868202570143
55,0.29999948,50,0.125,0.10168855323143527
56,0.29999936,50,0.1875,0.09916767274361268
57,4.499997,56,0.125,0.09648995879973733
58,-3.3000014,50,0.125,0.09422261675413605
59,4.599997,57,0.1875,0.09177242151782558
60,3.8999977,50,0.125,0.08973515648040245
61,4.699997,58,0.1875,0.08749607832412475
62,3.9999976,51,0.1875,0.08563172346002901
63,3.8999977,50,0.125,0.083893943800852
64,3.8999977,50,0.125,0.08224091665574398
65,3.8999977,50,0.1875,0.08066850859581884
66,3.8999977,50,0.125,0.07917278778189595
67,3.8999977,50,0.1875,0.07775001413285434
68,3.699998,48,0.125,0.07644947606190174
69,3.8999977,50,0.125,0.0751595198927082
70,3.8999977,50,0.1875,0.07393247562825508
71,3.8999977,50,0.125,0.07276527501874244
72,3.8999977,50,0.1875,0.07165499945467886
73,3.8999977,50,0.125,0.07059887266883745
74,3.8999977,50,0.1875,0.06959425379414173
75,3.8999977,50,0.125,0.06863863076012239
76,4.799997,59,0.1875,0.0675707633853871
77,2.8999984,40,0.125,0.06688180389852424
78,4.2999973,54,0.125,0.0659943630291291
79,3.8999977,50,0.1875,0.06521430873945398
80,1.9999993,31,0.0625,0.06474990068413773
81,1.9999993,31,0.125,0.06429966841856889
82,1.9999993,31,0.0625,0.06386317923488924
83,3.8999977,50,0.1875,0.06318706400535393
84,3.0999985,42,0.125,0.06264467716920903
85,3.8999977,50,0.125,0.06202798898666403
86,3.8999977,50,0.1875,0.06144137704168535
87,4.799997,59,0.1875,0.060785863585675406
88,1.9999993,31,0.0625,0.06045663128084251
89,3.9999976,51,0.1875,0.05993671367180681
90,3.8999977,50,0.125,0.05945209442746117
91,3.8999977,50,0.1875,0.058991110342560285
92,4.2999973,54,0.1875,0.058518466611642006
93,1.9999993,31,0.0625,0.058258445300050615
94,1.9999993,31,0.125,0.05800636098998359
95,1.9999993,31,0.0625,0.057761971409017884
96,1.9999993,31,0.125,0.05752504167995733
97,1.9999993,31,0.0625,0.05729534409509762
98,1.9999993,31,0.125,0.05707265789738157
99,1.9999993,31,0.0625,0.056856769068234676
100,3.0999985,42,0.125,0.05657474865189438
101,3.8999977,50,0.1875,0.05625409437637834
102,1.9999993,31,0.0625,0.056063191729610946
103,1.9999993,31,0.125,0.05587811627673439
104,3.8999977,50,0.125,0.05559143716306633
105,1.9999993,31,0.125,0.05542076174798232
106,1.9999993,31,0.0625,0.05525529610213376
107,1.9999993,31,0.125,0.05509488120030034
108,1.9999993,31,0.0625,0.05493936287141544
109,1.9999993,31,0.125,0.05478859165039593
110,3.8999977,50,0.125,0.054555049279775045
111,1.9999993,31,0.125,0.05441600901089945
112,3.599998,47,0.125,0.05421325854494468
113,3.599998,47,0.1875,0.05401981688052167
114,1.9999993,31,0.0625,0.05389711427390443
115,1.9999993,31,0.125,0.05377815709403625
116,3.499998,46,0.125,0.05360829856455315
117,4.9999967,61,0.1875,0.053394771145582026
118,3.8999977,50,0.125,0.053229206203123616
119,4.399997,55,0.1875,0.05305639571093577
120,1.9999993,31,0.125,0.05296310098340656
121,3.8999977,50,0.125,0.05281858884318332
122,3.8999977,50,0.1875,0.0526811246432054
123,3.8999977,50,0.125,0.05255036465137096
124,3.7999978,49,0.125,0.05242840909488553
125,1.9999993,31,0.125,0.05235428329892718
126,1.9999993,31,0.0625,0.05228242015041075
127,3.8999977,50,0.125,0.05217110520614405
128,3.8999977,50,0.125,0.05206521915577091
129,4.699997,58,0.1875,0.05194884394778869
130,3.8999977,50,0.1875,0.051853797706896736
131,3.8999977,50,0.125,0.051763386925872124
132,3.8999977,50,0.1875,0.051677385530669424
133,3.8999977,50,0.125,0.0515955784730045
134,3.8999977,50,0.1875,0.051517761192621796
135,3.8999977,50,0.125,0.05144373910578715
136,3.8999977,50,0.1875,0.05137332711872709
137,3.8999977,50,0.125,0.05130634916479799
138,3.8999977,50,0.125,0.051242637764227786
139,3.8999977,50,0.125,0.05118203360532925
140,3.8999977,50,0.125,0.051124385146137846
141,3.8999977,50,0.1875,0.05106954823547785
142,3.8999977,50,0.125,0.05101738575250935
143,6.1999965,64,0.25,0.05095431292230511
144,3.8999977,50,0.125,0.05090777053187788
145,3.8999977,50,0.125,0.050863498040616906
146,4.1999974,53,0.1875,0.0508189242825387
147,3.8999977,50,0.1875,0.05077898487398895
148,3.8999977,50,0.125,0.05074099333337927
149,3.8999977,50,0.125,0.050704854662069226
150,3.8999977,50,0.1875,0.050670478494556755
151,3.8999977,50,0.125,0.05063777887251733
152,6.2999964,65,0.25,0.050597641830265515
153,3.8999977,50,0.125,0.05056849449426102
154,3.8999977,50,0.125,0.05054076869060773
155,4.799997,59,0.125,0.05050978630518413
156,6.3999963,66,0.25,0.05047722669447605
157,3.8999977,50,0.125,0.050453952073942834
158,3.8999977,50,0.1875,0.05043181257004754
159,3.8999977,50,0.125,0.0504107528224985
160,3.8999977,50,0.1875,0.0503907201709573
161,3.8999977,50,0.125,0.050371664523360525
162,3.8999977,50,0.125,0.05035353823066357
163,3.8999977,50,0.125,0.0503362959676931
164,3.8999977,50,0.125,0.05031989461981062
165,3.8999977,50,0.1875,0.050304293175103335
166,3.8999977,50,0.125,0.05028945262183304
167,3.8999977,50,0.1875,0.05027533585088646
168,4.499997,56,0.1875,0.05026034082252684
169,3.8999977,50,0.125,0.05024764385078624
170,3.8999977,50,0.1875,0.05023556611766454
171,3.8999977,50,0.125,0.050224077422537906
172,6.599996,68,0.1875,0.05020934667889823
173,3.9999976,51,0.1875,0.05019893768370379
174,3.8999977,50,0.125,0.05018923537838106
175,3.8999977,50,0.125,0.05018000626007259
176,3.8999977,50,0.125,0.05017122725117538
177,3.8999977,50,0.1875,0.050162876399594394
178,3.8999977,50,0.125,0.050154932823850924
179,3.8999977,50,0.1875,0.050147376660867986
180,3.8999977,50,0.125,0.05014018901630229
181,3.8999977,50,0.1875,0.05013335191729855
182,3.8999977,50,0.125,0.050126848267547965
183,3.8999977,50,0.1875,0.050120661804538565
184,3.8999977,50,0.125,0.05011477705889043
185,3.8999977,50,0.1875,0.050109179315674234
186,3.8999977,50,0.125,0.05010385457761618
187,3.8999977,50,0.1875,0.0500987895300976
188,3.8999977,50,0.125,0.05009397150786144
189,3.8999977,50,0.1875,0.0500893884633425
190,3.8999977,50,0.125,0.05008502893654229
191,3.8999977,50,0.1875,0.050080882026373036
192,3.8999977,50,0.125,0.05007693736339927
193,5.9999967,62,0.1875,0.0500723121112138
194,3.8999977,50,0.1875,0.05006878540793434
195,3.8999977,50,0.125,0.050065430704003426
196,3.8999977,50,0.1875,0.050062239610913856
197,3.8999977,50,0.125,0.05005920414927074
198,3.8999977,50,0.1875,0.050056316728838854
199,3.8999977,50,0.125,0.05005357012956315
200,3.8999977,50,0.1875,0.050050957483514784
201,3.8999977,50,0.125,0.050048472257717774
202,4.599997,57,0.1875,0.05004578660716901
203,4.2999973,54,0.1875,0.050043379701679706
204,4.1999974,53,0.125,0.05004114044202048
205,3.8999977,50,0.125,0.050039133998986844
206,3.8999977,50,0.125,0.05003722541133467
207,3.8999977,50,0.1875,0.05003540990660068
208,4.0999975,52,0.1875,0.05003361564650824
209,3.8999977,50,0.125,0.05003197619208225
210,4.399997,55,0.1875,0.050030264990893955
211,3.8999977,50,0.125,0.050028788949870576
212,3.8999977,50,0.1875,0.05002738489621737
213,3.8999977,50,0.125,0.05002604931906886
214,3.8999977,50,0.1875,0.05002477887878651
215,3.8999977,50,0.125,0.050023570398607865
216,3.8999977,50,0.1875,0.05002242085670301
217,3.8999977,50,0.125,0.05002132737861842
218,4.9999967,61,0.1875,0.05002006529344771
219,4.399997,55,0.1875,0.050018991502237584
220,3.8999977,50,0.125,0.050018065275743866
221,3.8999977,50,0.1875,0.05001718422184928
222,3.8999977,50,0.125,0.050016346137460185
223,4.0999975,52,0.1875,0.050015517860152334
224,3.8999977,50,0.125,0.05001476104518219
225,3.8999977,50,0.1875,0.05001404114051368
226,3.8999977,50,0.125,0.05001335634601017
227,3.8999977,50,0.1875,0.05001270494932868
228,3.8999977,50,0.125,0.050012085321638235
229,3.8999977,50,0.1875,0.05001149591354684
230,6.0999966,63,0.1875,0.050010794012998905
231,3.8999977,50,0.125,0.050010267582773
232,3.8999977,50,0.1875,0.050009766826852174
233,3.8999977,50,0.125,0.05000929049308579
234,4.599997,57,0.1875,0.05000877574467033
235,3.8999977,50,0.1875,0.05000834774655232
236,3.8999977,50,0.125,0.05000794062214884
