episode,cumulative_reward,episode_length,time,epsilon
0,35.0,35,0.125,0.8707646038189315
1,14.0,14,0.0,0.8593539602437291
2,21.0,21,0.0,0.842534746920056
3,14.0,14,0.0,0.831516567680856
4,9.0,9,0.0,0.8245144752517195
5,14.0,14,0.0,0.8137468220417597
6,30.0,30,0.25,0.791174692212293
7,29.0,29,0.125,0.7699892990609897
8,10.0,10,0.0,0.762825285836513
9,50.0,50,0.125,0.7280603864158232
10,13.0,13,0.0,0.7193026500167848
11,20.0,20,0.125,0.7060495695871479
12,13.0,13,0.0,0.697576121926362
13,13.0,13,0.0,0.6892121161714753
14,16.0,16,0.125,0.6790661068347015
15,11.0,11,0.0,0.6721842989940657
16,21.0,21,0.0,0.6592546650323442
17,15.0,15,0.125,0.6501840447822268
18,13.0,13,0.0,0.6424321486968418
19,9.0,9,0.0,0.6371241810417515
20,9.0,9,0.0,0.6318637707663365
21,11.0,11,0.125,0.62549834332344
22,31.0,31,0.0,0.6079315861977955
23,13.0,13,0.125,0.600725417162548
24,12.0,12,0.0,0.5941562062524001
25,10.0,10,0.0,0.5887417615337667
26,12.0,12,0.0,0.5823154951089226
27,15.0,15,0.125,0.5743903498675154
28,18.0,18,0.0,0.5650357673846094
29,16.0,16,0.0,0.5568607694888329
30,11.0,11,0.125,0.5513158539709229
31,9.0,9,0.0,0.546824253804195
32,15.0,15,0.0,0.5394275043068948
33,11.0,11,0.0,0.5340733038501104
34,15.0,15,0.125,0.526866391265845
35,15.0,15,0.0,0.5197667756314095
36,9.0,9,0.0,0.5155578432566684
37,14.0,14,0.125,0.5090854459477151
38,14.0,14,0.0,0.5027030308558627
39,13.0,13,0.0,0.4968559796334217
40,13.0,13,0.125,0.4910844481350993
41,10.0,10,0.0,0.48669558454549855
42,13.0,13,0.0,0.4810552833382723
43,11.0,11,0.0,0.4763396587061472
44,12.0,12,0.125,0.4712541568387537
45,10.0,10,0.0,0.4670626079443541
46,17.0,17,0.0,0.460032469097857
47,11.0,11,0.0,0.4555468281928792
48,14.0,14,0.125,0.449908731364591
49,12.0,12,0.0,0.44513850518785303
50,14.0,14,0.0,0.43964510960944
51,13.0,13,0.125,0.4346125059837192
52,9.0,9,0.0,0.4311665236108931
53,13.0,13,0.0,0.42624342825714845
54,11.0,11,0.0,0.42212743003941566
55,8.0,8,0.125,0.4191622869853958
56,15.0,15,0.0,0.41366617656048577
57,13.0,13,0.0,0.4089691133263423
58,9.0,9,0.0,0.4057528860387044
59,12.0,12,0.125,0.40150936346383787
