episode,cumulative_reward,episode_length,time,epsilon
0,-8.1,50,0.015625,0.858545010825607
1,-8.700001,50,0.0,0.8191118053305656
2,-8.1,50,0.078125,0.7816017799612992
3,-8.1,50,0.171875,0.7459211401162845
4,-8.1,50,0.171875,0.7119806656106942
5,-8.1,50,0.171875,0.6796954875794602
6,-9.3,50,0.1875,0.6489848762609065
7,-8.1,50,0.1875,0.6197720391302934
8,-8.1,50,0.1875,0.5919839288785074
9,-8.700001,50,0.1875,0.5655510607557385
10,-9.3,50,0.171875,0.5404073388234136
11,-9.3,50,0.1875,0.5164898906799225
12,-8.700001,50,0.1875,0.4937389102468636
13,-8.700001,50,0.203125,0.4720975082226981
14,-8.700001,50,0.1875,0.45151156982986246
15,-8.700001,50,0.203125,0.4319296194996383
16,-8.700001,50,0.1875,0.4133026921564177
17,-8.700001,50,0.1875,0.3955842107795092
18,-9.3,50,0.1875,0.378729869936326
19,-8.700001,50,0.203125,0.36269752499572594
20,-9.3,50,0.203125,0.347447086744482
21,-9.3,50,0.1875,0.3329404211433676
22,-8.700001,50,0.203125,0.3191412539721953
23,-8.700001,50,0.1875,0.3060150801253718
24,-9.3,50,0.1875,0.29352907733116157
25,-9.3,50,0.203125,0.2816520240789107
26,-9.3,50,0.203125,0.2703542215490078
27,-9.3,50,0.1875,0.2596074193503655
28,-9.3,50,0.1875,0.249384744879728
29,-9.3,50,0.203125,0.23966063612616534
30,-9.3,50,0.203125,0.2304107777527316
31,-9.3,50,0.1875,0.22161204029545706
32,-9.3,50,0.1875,0.213242422327641
33,-9.3,50,0.203125,0.20528099544482448
34,-9.3,50,0.1875,0.19770785193287838
35,-9.3,50,0.1875,0.19050405498834855
36,-8.700001,50,0.203125,0.1836515913665835
37,-8.700001,50,0.203125,0.17713332633923978
38,-8.700001,50,0.1875,0.17093296084853654
39,-8.700001,50,0.1875,0.1650349907511208
40,-8.700001,50,0.203125,0.1594246680496336
41,-8.700001,50,0.203125,0.1540879640150346
42,-8.1,50,0.203125,0.14901153410747242
43,-8.1,50,0.203125,0.14418268460798378
44,-8.700001,50,0.1875,0.13958934087758468
45,-8.700001,50,0.1875,0.1352200171643832
46,-8.1,50,0.1875,0.13106378788321715
47,-8.1,50,0.203125,0.12711026029600064
48,-8.700001,50,0.203125,0.12334954852446492
49,-8.1,50,0.203125,0.11977224883031398
0,-8.700001,50,0.015625,0.858545010825607
1,-8.1,50,0.0,0.8191118053305656
2,-8.700001,50,0.078125,0.7816017799612992
3,-8.1,50,0.15625,0.7459211401162845
4,-6.9000006,50,0.140625,0.7119806656106942
5,-8.1,50,0.140625,0.6796954875794602
6,-8.1,50,0.15625,0.6489848762609065
7,-8.1,50,0.140625,0.6197720391302934
8,-7.500001,50,0.140625,0.5919839288785074
9,-8.1,50,0.15625,0.5655510607557385
10,-7.500001,50,0.15625,0.5404073388234136
11,-8.700001,50,0.15625,0.5164898906799225
12,-6.9000006,50,0.140625,0.4937389102468636
13,-8.1,50,0.15625,0.4720975082226981
14,-8.700001,50,0.15625,0.45151156982986246
15,-8.1,50,0.15625,0.4319296194996383
16,-6.9000006,50,0.15625,0.4133026921564177
17,-8.1,50,0.15625,0.3955842107795092
18,-8.1,50,0.15625,0.378729869936326
19,-7.500001,50,0.15625,0.36269752499572594
20,-6.300001,50,0.15625,0.347447086744482
21,-3.9000013,50,0.15625,0.3329404211433676
22,-4.500001,50,0.15625,0.3191412539721953
23,-2.1000016,50,0.15625,0.3060150801253718
24,-5.700001,50,0.15625,0.29352907733116157
25,-5.700001,50,0.171875,0.2816520240789107
26,0.8999982,50,0.15625,0.2703542215490078
27,0.8999982,50,0.15625,0.2596074193503655
28,-5.700001,50,0.15625,0.249384744879728
29,-0.30000162,50,0.15625,0.23966063612616534
30,2.699998,50,0.15625,0.2304107777527316
31,3.2999978,50,0.15625,0.22161204029545706
32,0.8999982,50,0.15625,0.213242422327641
33,3.8999977,50,0.15625,0.20528099544482448
34,3.8999977,50,0.15625,0.19770785193287838
35,3.8999977,50,0.15625,0.19050405498834855
36,4.599997,57,0.1875,0.1827192970639419
37,3.8999977,50,0.15625,0.17624650056627278
38,-5.1000013,50,0.15625,0.17008938607888474
39,3.8999977,50,0.15625,0.16423255760846156
40,3.8999977,50,0.15625,0.15866137003314157
41,3.8999977,50,0.15625,0.15336189248208437
42,3.8999977,50,0.15625,0.1483208735010378
43,3.7999978,49,0.140625,0.14361928040316196
44,3.8999977,50,0.15625,0.13905341422007075
45,3.8999977,50,0.15625,0.13471022795838156
46,4.0999975,52,0.15625,0.13041786471773326
47,2.399999,35,0.109375,0.1276519257353115
48,3.8999977,50,0.15625,0.12386479662857253
49,3.8999977,50,0.15625,0.12026236798785933
0,-7.500001,50,0.0,0.858545010825607
1,-6.300001,50,0.0,0.8191118053305656
2,-6.9000006,50,0.09375,0.7816017799612992
3,-6.9000006,50,0.171875,0.7459211401162845
4,-7.500001,50,0.171875,0.7119806656106942
5,-7.500001,50,0.171875,0.6796954875794602
6,-8.1,50,0.171875,0.6489848762609065
7,-6.9000006,50,0.171875,0.6197720391302934
8,-3.9000013,50,0.171875,0.5919839288785074
9,-5.1000013,50,0.1875,0.5655510607557385
10,-3.9000013,50,0.1875,0.5404073388234136
11,-4.500001,50,0.1875,0.5164898906799225
12,-3.9000013,50,0.1875,0.4937389102468636
13,4.0999975,52,0.1875,0.4712541568387537
14,-4.500001,50,0.1875,0.4507093491782612
15,-6.300001,50,0.171875,0.4311665236108931
16,-3.9000013,50,0.1875,0.41257681289332765
17,5.9999967,62,0.234375,0.3907797415856933
18,-0.30000162,50,0.171875,0.3741597174700611
19,3.8999977,50,0.171875,0.35835026149536026
20,-3.3000014,50,0.171875,0.3433118417868762
21,-5.1000013,50,0.171875,0.32900685446217465
22,6.499996,67,0.25,0.3109258714330942
23,-0.9000015,50,0.1875,0.29820036652064946
24,-6.300001,50,0.1875,0.2860954918063037
25,3.8999977,50,0.1875,0.2745809787981233
26,-3.9000013,50,0.1875,0.2636280352159459
27,3.8999977,50,0.1875,0.25320927299568247
28,3.8999977,50,0.1875,0.24329863980489153
29,0.8999982,50,0.1875,0.23387135389837777
30,3.8999977,50,0.1875,0.22490384215092102
31,1.9999993,31,0.109375,0.21956500260246292
32,3.8999977,50,0.1875,0.2112952198410029
33,4.599997,57,0.203125,0.20235850807898093
34,4.0999975,52,0.1875,0.19463832982849222
35,3.8999977,50,0.1875,0.1875842352435011
36,4.8999968,60,0.21875,0.17957195313264135
37,-0.30000162,50,0.171875,0.17325265440979593
38,4.399997,55,0.21875,0.16665680684471534
39,3.8999977,50,0.171875,0.16096738723898948
40,0.8999982,50,0.1875,0.15555544390169188
41,3.8999977,50,0.171875,0.15040744415552373
42,8.400001,86,0.3125,0.14213329152866805
43,3.9999976,51,0.1875,0.13755230178563918
44,3.8999977,50,0.1875,0.1332823256412664
45,4.499997,56,0.203125,0.12874669822178564
46,3.8999977,50,0.171875,0.12490617643084055
47,2.199999,33,0.109375,0.12247461404821734
48,3.8999977,50,0.1875,0.11893998541199716
49,3.8999977,50,0.171875,0.11557774264854169
0,-6.300001,50,0.0,0.858545010825607
1,-6.9000006,50,0.015625,0.8191118053305656
2,-7.500001,50,0.078125,0.7816017799612992
3,-5.1000013,50,0.171875,0.7459211401162845
4,-5.1000013,50,0.171875,0.7119806656106942
5,-7.500001,50,0.15625,0.6796954875794602
6,-6.9000006,50,0.171875,0.6489848762609065
7,-6.9000006,50,0.171875,0.6197720391302934
8,-5.700001,50,0.171875,0.5919839288785074
9,-1.5000017,50,0.171875,0.5655510607557385
10,-3.3000014,50,0.171875,0.5404073388234136
11,-3.3000014,50,0.171875,0.5164898906799225
12,-0.9000015,50,0.171875,0.4937389102468636
13,3.8999977,50,0.171875,0.4720975082226981
14,-4.500001,50,0.171875,0.45151156982986246
15,-3.9000013,50,0.1875,0.4319296194996383
16,-2.1000009,50,0.1875,0.4133026921564177
17,0.29999828,50,0.1875,0.3955842107795092
18,0.8999982,50,0.1875,0.378729869936326
19,-5.1000013,50,0.1875,0.36269752499572594
20,3.8999977,50,0.203125,0.347447086744482
21,-4.500001,50,0.1875,0.3329404211433676
22,2.699998,50,0.1875,0.3191412539721953
23,3.8999977,50,0.1875,0.3060150801253718
24,3.8999977,50,0.1875,0.29352907733116157
25,-3.9000013,50,0.171875,0.2816520240789107
26,3.8999977,50,0.1875,0.2703542215490078
27,-3.3000014,50,0.1875,0.2596074193503655
28,1.4999981,50,0.1875,0.249384744879728
29,-3.3000014,50,0.203125,0.23966063612616534
30,-0.9000015,50,0.171875,0.2304107777527316
31,3.8999977,50,0.1875,0.22161204029545706
32,4.2999973,54,0.1875,0.2125907568381964
33,1.9999993,31,0.109375,0.20762776716257525
34,1.4999981,50,0.171875,0.199940170243389
35,3.8999977,50,0.1875,0.19262750185015803
36,3.9999976,51,0.1875,0.18553587283952938
37,3.8999977,50,0.171875,0.17892571032034754
38,2.699998,50,0.1875,0.17263792923136995
39,1.9999993,31,0.125,0.16889447672243946
40,3.8999977,50,0.1875,0.16309592466899964
41,3.8999977,50,0.1875,0.15758017133626862
42,4.799997,59,0.234375,0.15141655574578106
43,3.8999977,50,0.1875,0.14647041195690386
44,3.8999977,50,0.1875,0.14176549444711245
45,1.9999993,31,0.125,0.13896440531771923
46,1.9999993,31,0.109375,0.13624881782876375
47,3.8999977,50,0.203125,0.1320424133471218
48,1.9999993,31,0.109375,0.12953811569624113
49,3.8999977,50,0.1875,0.12565899601960667
0,-6.300001,50,0.0,0.858545010825607
1,-6.9000006,50,0.0,0.8191118053305656
2,-7.500001,50,0.09375,0.7816017799612992
3,-6.9000006,50,0.1875,0.7459211401162845
4,-4.500001,50,0.171875,0.7119806656106942
5,-6.300001,50,0.1875,0.6796954875794602
6,-5.1000013,50,0.171875,0.6489848762609065
7,-5.700001,50,0.1875,0.6197720391302934
8,-3.3000014,50,0.171875,0.5919839288785074
9,1.4999981,50,0.171875,0.5655510607557385
10,-3.9000013,50,0.1875,0.5404073388234136
11,-2.7000015,50,0.171875,0.5164898906799225
12,0.8999982,50,0.171875,0.4937389102468636
13,3.8999977,50,0.171875,0.4720975082226981
