episode,cumulative_reward,episode_length,time,epsilon
0,-276.58856,71,0.125,0.8417426083084534
1,-21.385895,69,0.25,0.788954500088985
2,-376.06113,83,0.25,0.730097621900371
3,-255.59787,203,0.625,0.6051488908025743
4,-406.48016,188,0.5,0.5100045356229225
5,-155.07674,193,0.625,0.4292654476433308
6,-448.1863,368,1.125,0.31249613273481686
7,-86.09861,191,0.625,0.2668566095158936
8,21.750809,543,1.75,0.1759942598898968
9,-325.5345,333,1.0,0.14030893012378493
10,-471.0032,142,0.375,0.1283539474258969
11,-185.45743,386,1.25,0.10326270403083018
12,-124.453804,1000,3.125,0.06959425379414173
13,-90.06353,1000,3.125,0.05720832313596028
14,-81.13832,1000,3.125,0.05265179388704025
15,-66.367645,519,1.625,0.05157812328931781
16,-190.3607,752,2.5,0.05074396324257129
17,-168.59744,854,2.625,0.05031671161516076
18,-114.40909,907,2.875,0.050127867123678976
19,-84.96234,1000,3.125,0.05004703968600322
0,-147.62503,94,0.125,0.823740347904652
1,-222.78801,125,0.25,0.7328234604305826
2,-235.22444,113,0.25,0.6598642244262768
3,-30.964897,170,0.5,0.5645209890492907
4,-66.18902,125,0.375,0.5040631791507615
5,-196.6443,307,0.875,0.3840318505921154
6,-26.026562,1000,3.0,0.17288345052929016
7,-140.84698,306,1.0,0.14048972872236487
8,-162.3331,711,2.125,0.09444428354307347
9,-108.230095,1000,3.0,0.06635013819309099
10,-138.48865,1000,3.0,0.056014879701550176
11,-95.142494,1000,3.0,0.052212750583319735
12,-99.55688,1000,3.125,0.05081402544804345
13,-92.26038,1000,3.0,0.05029946322692556
14,-86.27916,1000,3.0,0.05011016636457277
15,-141.25832,1000,3.0,0.050040527940634925
16,-173.42297,1000,3.125,0.05001490939615261
17,-155.308,1000,3.125,0.05000548486032483
18,-147.25174,1000,3.25,0.0500020177673512
19,-119.52295,1000,3.25,0.05000074229512558
0,-271.60648,109,0.0,0.8122208548735002
1,-89.73676,93,0.125,0.7445306887509011
2,-235.0654,161,0.375,0.6412484684742309
3,-181.97887,82,0.25,0.5947006346274709
4,-85.0562,104,0.375,0.5408979914476615
5,-126.118805,170,0.5,0.46415336392222445
6,-262.22723,313,0.875,0.352849611158235
7,-72.0596,192,0.625,0.2999438642089266
8,-136.05132,1000,3.0,0.14194920908941078
9,-130.54185,1000,3.0,0.08382622365596853
10,-94.10194,1000,3.0,0.06244397225549793
11,-83.75187,1000,3.0,0.05457788155930551
12,-126.17655,1000,3.0,0.051684108509786365
13,-92.8648,1000,3.0,0.05061954889745228
14,-81.10023,1000,3.0,0.05022791930217313
15,-68.00971,1000,3.125,0.050083846825515636
16,-50.42805,1000,3.0,0.050030845523314695
17,-69.38876,1000,3.125,0.05001134743387965
18,-61.33664,1000,3.125,0.050004174487634376
19,-90.115265,1000,3.125,0.05000153570817811
