episode,cumulative_reward,episode_length,time,epsilon
0,28.0,28,0.044922,0.8765301117810599
1,12.0,12,0.005859,0.8666710232794748
2,21.0,21,0.011719,0.8496997538096083
3,12.0,12,0.005859,0.8401607055219239
4,47.0,47,0.021484,0.8038823712095838
5,30.0,30,0.214844,0.7816017799612992
6,36.0,36,0.095703,0.7557325557346428
7,9.0,9,0.021484,0.7494094593476157
8,14.0,14,0.035156,0.7396859502968998
9,18.0,18,0.041016,0.7273826649466187
10,17.0,17,0.042969,0.7159644891234331
11,11.0,11,0.029297,0.7086790232669189
12,39.0,39,0.095703,0.6834850177267954
13,13.0,13,0.03125,0.6753030107711654
14,15.0,15,0.035156,0.6659934617804175
15,11.0,11,0.025391,0.6592546650323442
16,15.0,15,0.035156,0.6501840447822268
17,15.0,15,0.035156,0.6412484684742309
18,12.0,12,0.027344,0.6341958869723264
19,18.0,18,0.041016,0.6237744354482132
20,27.0,27,0.064453,0.6084897968427982
21,19.0,19,0.044922,0.5979786626853312
22,33.0,33,0.078125,0.5801904859800894
23,19.0,19,0.044922,0.5702119629011474
24,11.0,11,0.025391,0.5645209890492907
25,12.0,12,0.027344,0.5583836349533472
26,24.0,24,0.058594,0.5463276778797345
27,8.0,8,0.017578,0.5423728966736647
28,16.0,16,0.037109,0.5345576192713114
29,12.0,12,0.027344,0.528777676853704
30,10.0,10,0.023438,0.5240137593718226
31,13.0,13,0.033203,0.5178914616572502
32,9.0,9,0.021484,0.5136993313853994
33,10.0,10,0.023438,0.5090854459477151
34,14.0,14,0.033203,0.5027030308558627
35,11.0,11,0.025391,0.4977505859007538
36,15.0,15,0.035156,0.4910844481350993
37,12.0,12,0.029297,0.4858230661856069
38,16.0,16,0.037109,0.47890538614351846
39,10.0,10,0.025391,0.4746377062455132
40,14.0,14,0.035156,0.4687341993301151
41,10.0,10,0.025391,0.4645677244318715
42,17.0,17,0.041016,0.45757964012866
43,15.0,15,0.041016,0.45151156982986246
44,12.0,12,0.029297,0.44672222453567484
45,12.0,12,0.03125,0.44199000792735965
46,11.0,11,0.033203,0.4377017465177933
47,14.0,14,0.041016,0.4323117401476186
48,11.0,11,0.029297,0.42812935628949994
49,8.0,8,0.021484,0.4251163893759778
50,8.0,8,0.017578,0.42212743003941566
51,12.0,12,0.033203,0.4176885872019536
52,15.0,15,0.041016,0.4122144173084264
53,18.0,18,0.056641,0.4057528860387044
54,14.0,14,0.037109,0.4008070472871922
55,11.0,11,0.027344,0.39696931598623425
56,11.0,11,0.027344,0.39317356839584383
57,10.0,10,0.027344,0.38975893433741393
58,13.0,13,0.033203,0.3853706538158609
59,10.0,10,0.025391,0.38203366005474293
60,12.0,12,0.029297,0.37807306721810585
61,13.0,13,0.03125,0.37383571977843666
62,11.0,11,0.027344,0.3702930472814827
63,11.0,11,0.027344,0.3667891306340357
64,17.0,17,0.042969,0.36144923314383554
65,11.0,11,0.025391,0.3580420653576168
66,9.0,9,0.021484,0.35528212512999385
67,12.0,12,0.029297,0.35164063228332326
68,12.0,12,0.029297,0.34804257620893897
69,11.0,11,0.027344,0.3447820735121423
70,13.0,13,0.03125,0.34097470805221974
71,9.0,9,0.021484,0.3383676848814011
72,13.0,13,0.03125,0.33464316679896067
