episode,cumulative_reward,episode_length,time,epsilon
0,-8.1,50,0.035156,0.858545010825607
1,-7.500001,50,0.003906,0.8191118053305656
2,-8.700001,50,0.1875,0.7816017799612992
3,-8.1,50,0.105469,0.7459211401162845
4,-8.700001,50,0.117188,0.7119806656106942
5,-8.1,50,0.117188,0.6796954875794602
6,-8.700001,50,0.103516,0.6489848762609065
7,-8.700001,50,0.125,0.6197720391302934
8,-9.3,50,0.121094,0.5919839288785074
9,-9.3,50,0.119141,0.5655510607557385
10,-8.700001,50,0.115234,0.5404073388234136
11,-8.700001,50,0.111328,0.5164898906799225
12,-9.3,50,0.109375,0.4937389102468636
13,-8.700001,50,0.107422,0.4720975082226981
14,-9.3,50,0.107422,0.45151156982986246
15,-9.3,50,0.103516,0.4319296194996383
16,-9.3,50,0.105469,0.4133026921564177
17,-9.3,50,0.119141,0.3955842107795092
18,-9.3,50,0.115234,0.378729869936326
19,-9.3,50,0.111328,0.36269752499572594
20,-9.3,50,0.119141,0.347447086744482
21,-9.3,50,0.113281,0.3329404211433676
22,-8.700001,50,0.119141,0.3191412539721953
23,-9.3,50,0.130859,0.3060150801253718
24,-8.700001,50,0.123047,0.29352907733116157
25,-9.3,50,0.119141,0.2816520240789107
26,-9.3,50,0.132812,0.2703542215490078
27,-9.3,50,0.113281,0.2596074193503655
28,-8.700001,50,0.111328,0.249384744879728
29,-8.700001,50,0.111328,0.23966063612616534
30,-8.700001,50,0.107422,0.2304107777527316
31,-8.700001,50,0.109375,0.22161204029545706
32,-8.700001,50,0.107422,0.213242422327641
33,-8.700001,50,0.107422,0.20528099544482448
34,-8.700001,50,0.115234,0.19770785193287838
35,-8.1,50,0.113281,0.19050405498834855
36,-8.1,50,0.109375,0.1836515913665835
37,-8.1,50,0.105469,0.17713332633923978
38,-8.1,50,0.105469,0.17093296084853654
39,-8.1,50,0.107422,0.1650349907511208
40,-6.9000006,50,0.109375,0.1594246680496336
41,-8.1,50,0.111328,0.1540879640150346
42,-6.9000006,50,0.107422,0.14901153410747242
43,-7.500001,50,0.111328,0.14418268460798378
44,-6.300001,50,0.117188,0.13958934087758468
45,-0.30000162,50,0.115234,0.1352200171643832
46,0.8999982,50,0.105469,0.13106378788321715
47,-5.700001,50,0.109375,0.12711026029600064
48,-4.500001,50,0.123047,0.12334954852446492
49,3.8999977,50,0.128906,0.11977224883031398
50,3.8999977,50,0.126953,0.1163694161009802
51,3.8999977,50,0.117188,0.1131325414821838
52,3.8999977,50,0.113281,0.11005353110136515
53,8.500001,87,0.205078,0.10504969647251458
54,3.8999977,50,0.105469,0.10236489109448904
55,4.1999974,53,0.125,0.09966181606982571
56,3.8999977,50,0.111328,0.09723978071976061
57,4.499997,56,0.119141,0.09466706144141424
58,4.1999974,53,0.117188,0.09236134828735601
59,3.8999977,50,0.117188,0.090295360952456
60,3.8999977,50,0.121094,0.08833013300885323
61,3.8999977,50,0.121094,0.08646075036304729
62,1.9999993,31,0.068359,0.0853478068529972
63,3.8999977,50,0.107422,0.08362387397013891
64,3.8999977,50,0.105469,0.08198401828609979
65,3.8999977,50,0.107422,0.080424139307507
66,3.8999977,50,0.105469,0.07894033652440945
67,3.8999977,50,0.111328,0.07752889965697099
68,1.9999993,31,0.076172,0.07668859577109437
69,1.9999993,31,0.101562,0.07587394167977611
70,3.9999976,51,0.136719,0.07458745490089119
71,3.8999977,50,0.132812,0.07338831057531199
72,1.9999993,31,0.078125,0.07267439579828067
73,1.9999993,31,0.078125,0.07198227286069078
74,3.8999977,50,0.126953,0.07091018476249256
75,3.8999977,50,0.132812,0.0698903830178294
76,1.9999993,31,0.080078,0.06928324047491181
77,3.8999977,50,0.125,0.06834278573945923
78,1.9999993,31,0.074219,0.067782882716573
79,3.8999977,50,0.125,0.06691560129244943
80,3.8999977,50,0.121094,0.0660906176825002
81,3.2999983,44,0.107422,0.06539798026945436
82,3.8999977,50,0.146484,0.06464701191018642
83,3.3999982,45,0.111328,0.06400250650251764
84,3.8999977,50,0.132812,0.06331959620195736
85,1.9999993,31,0.078125,0.06291302316103387
86,3.8999977,50,0.121094,0.06228324759003463
87,1.9999993,31,0.076172,0.06190830849658355
88,3.8999977,50,0.111328,0.061327533437982126
89,6.0999966,63,0.152344,0.060635913594588746
90,3.8999977,50,0.126953,0.060117193967619977
91,1.9999993,31,0.076172,0.05980837241967969
92,3.8999977,50,0.125,0.05933001245206059
93,1.9999993,31,0.070312,0.05904521916876789
94,1.9999993,31,0.070312,0.05876911903723951
95,1.9999993,31,0.072266,0.05850144670399966
96,1.9999993,31,0.076172,0.05824194491533537
97,2.199999,33,0.080078,0.05797439951159573
98,1.9999993,31,0.076172,0.057730985536441445
99,1.9999993,31,0.078125,0.057495001633384044
100,1.9999993,31,0.076172,0.057266221003730744
101,1.9999993,31,0.070312,0.05704442377168892
102,3.699998,48,0.134766,0.05671427830728866
103,1.9999993,31,0.074219,0.056509328809750604
104,4.699997,58,0.138672,0.05614252778917
105,1.9999993,31,0.072266,0.055955030648540995
106,1.9999993,31,0.074219,0.05577325675067958
107,2.6999986,38,0.082031,0.05555798898496671
108,3.2999983,44,0.107422,0.0553187395547555
109,1.9999993,31,0.085938,0.05515638807788871
110,3.8999977,50,0.115234,0.05490490806383242
111,3.8999977,50,0.111328,0.05466569287478822
112,1.9999993,31,0.066406,0.05452327527358205
113,1.9999993,31,0.070312,0.05438520488803657
114,3.2999983,44,0.103516,0.05419643917193675
115,3.8999977,50,0.123047,0.05399177641847364
116,1.9999993,31,0.074219,0.0538699297308911
117,3.9999976,51,0.132812,0.05367751167972511
118,3.599998,47,0.126953,0.053508667548117124
119,1.9999993,31,0.080078,0.05340156748194411
120,1.9999993,31,0.076172,0.05329773658391453
121,3.8999977,50,0.121094,0.05313690407287197
122,1.9999993,31,0.074219,0.053041151873732074
123,3.8999977,50,0.115234,0.052892833146669434
124,3.8999977,50,0.117188,0.05275174800928295
125,1.9999993,31,0.078125,0.0526677524782604
126,1.9999993,31,0.076172,0.0525863208626865
127,3.8999977,50,0.121094,0.05246018450578747
128,1.9999993,31,0.082031,0.05238508878362106
129,3.8999977,50,0.140625,0.05226876663102697
130,3.8999977,50,0.126953,0.05215811757675821
131,3.8999977,50,0.125,0.052052864940544584
132,3.8999977,50,0.15625,0.05195274553597192
133,3.8999977,50,0.130859,0.051857509012378906
134,3.8999977,50,0.126953,0.05176691722885008
135,3.8999977,50,0.117188,0.05168074365873945
136,3.8999977,50,0.115234,0.05159877282323596
137,3.8999977,50,0.119141,0.05152079975255412
138,3.8999977,50,0.113281,0.05144662947340289
139,3.8999977,50,0.117188,0.0513760765214508
140,3.8999977,50,0.117188,0.05130896447756859
141,3.8999977,50,0.113281,0.051245125526689445
142,3.8999977,50,0.125,0.05118440003818395
143,6.0999966,63,0.173828,0.05111208468608998
144,3.8999977,50,0.148438,0.05105784767594543
145,3.8999977,50,0.136719,0.051006255835998986
146,3.8999977,50,0.136719,0.0509571801597778
147,3.8999977,50,0.134766,0.05091049793252894
148,6.699996,69,0.189453,0.050849792012585306
149,3.8999977,50,0.132812,0.05080834716707682
150,3.8999977,50,0.138672,0.05076892361053527
151,3.8999977,50,0.136719,0.05073142276353448
152,3.8999977,50,0.136719,0.05069575085442362
153,3.8999977,50,0.128906,0.05066181868484926
154,3.8999977,50,0.126953,0.05062954140671298
155,3.8999977,50,0.126953,0.05059883831000696
156,3.8999977,50,0.128906,0.0505696326209969
157,3.8999977,50,0.128906,0.050541851310247715
158,3.8999977,50,0.130859,0.05051542491001189
159,3.8999977,50,0.126953,0.050490287340523944
160,3.9999976,51,0.128906,0.05046590960213197
161,3.8999977,50,0.126953,0.05044318692270535
162,3.8999977,50,0.142578,0.05042157244143126
163,3.8999977,50,0.148438,0.05040101211084801
164,3.8999977,50,0.140625,0.05038145451941978
165,3.8999977,50,0.132812,0.05036285076298087
166,3.8999977,50,0.134766,0.05034515432244994
167,3.8999977,50,0.164062,0.050328320947507985
168,3.8999977,50,0.15625,0.05031230854594955
169,3.8999977,50,0.207031,0.050297077078430244
170,3.8999977,50,0.138672,0.05028258845834756
171,3.8999977,50,0.132812,0.05026880645660449
172,3.8999977,50,0.130859,0.05025569661101797
173,3.8999977,50,0.128906,0.050243226140145404
174,3.8999977,50,0.130859,0.05023136386131404
175,3.8999977,50,0.142578,0.050220080112648016
176,3.8999977,50,0.132812,0.05020934667889823
177,3.8999977,50,0.130859,0.0501991367208895
178,3.8999977,50,0.134766,0.050189424708408675
179,3.8999977,50,0.138672,0.0501801863563658
180,3.8999977,50,0.140625,0.05017139856406872
181,3.8999977,50,0.208984,0.05016303935745934
182,8.9000025,91,0.285156,0.05014885782093401
183,3.8999977,50,0.146484,0.05014159793933949
184,3.8999977,50,0.146484,0.05013469212634839
185,3.8999977,50,0.150391,0.050128123113831156
186,3.8999977,50,0.144531,0.050121874475834854
187,3.8999977,50,0.140625,0.05011593058750971
188,3.8999977,50,0.142578,0.05011027658603889
189,4.799997,59,0.167969,0.0501039584841384
190,3.8999977,50,0.144531,0.05009888836903894
191,4.799997,59,0.169922,0.05009322273488391
192,4.699997,58,0.164062,0.050087969628873116
