episode,score,epsilon
0,-5.099999949336052,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
1,-6.299999952316284,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
2,-8.099999956786633,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
3,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
4,-3.8999999463558197,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
5,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
6,-8.099999956786633,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
7,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
8,-7.499999955296516,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
9,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
10,-9.299999959766865,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
11,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
12,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
13,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
14,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
15,-9.299999959766865,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
16,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
17,-9.299999959766865,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
18,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
19,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
20,-8.099999956786633,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
21,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
22,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
23,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
24,-7.499999955296516,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
25,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
26,-9.299999959766865,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
27,-4.499999947845936,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
28,-7.499999955296516,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
29,-8.099999956786633,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
30,-8.099999956786633,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
31,-6.8999999538064,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
32,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
33,-3.2999999448657036,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
34,-7.499999955296516,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
35,-8.699999958276749,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
36,2.8000000566244125,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
37,-5.699999950826168,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
38,-8.099999956786633,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
39,-0.8999999389052391,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
40,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
41,4.100000075995922,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
42,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
43,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
44,-1.4999999403953552,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
45,4.500000081956387,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
46,3.7000000700354576,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
47,-1.4999999403953552,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
48,0.30000006407499313,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
49,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
50,-4.499999947845936,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
51,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
52,2.0000000447034836,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
53,2.7000000551342964,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
54,0.9000000655651093,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
55,2.0000000447034836,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
56,3.3000000715255737,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
57,3.8000000715255737,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
58,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
59,3.4000000655651093,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
60,3.7000000700354576,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
61,4.800000086426735,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
62,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
63,4.700000084936619,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
64,4.200000077486038,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
65,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
66,2.9000000581145287,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
67,2.0000000447034836,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
68,2.0000000447034836,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
69,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
70,3.90000007301569,<bound method Agent.eps_threshold of <discrete_agent.AgentV2.Agent object at 0x7d2f62baca70>>
