episode,cumulative_reward,episode_length,time,epsilon
0,-125.90352,78,0.058594,0.8362197625620084
1,-492.56793,97,0.271484,0.7635384676538263
2,-202.65488,86,0.226562,0.7047387816728173
3,-170.43011,90,0.244141,0.6483861907772779
4,-104.788765,58,0.148438,0.6146670974738843
5,-257.33655,93,0.261719,0.5645209890492907
6,-307.75354,185,0.523438,0.47762059813069796
7,-91.764534,88,0.228516,0.4415982138491209
8,-138.53348,345,0.951172,0.3273378254295835
9,-94.06053,125,0.330078,0.2947497719111547
10,-253.41533,258,0.777344,0.2390925068378163
11,-89.713455,223,0.580078,0.20129572261126882
12,-180.19246,235,0.640625,0.16960998796998428
13,-263.97678,426,1.292969,0.12811923782405416
14,-75.40546,1000,2.88086,0.07873846155545204
15,-100.92742,1000,2.96875,0.06057228917714668
16,-40.350143,1000,2.72461,0.05388932783439161
17,-71.354774,1000,2.65039,0.05143080375024853
18,-121.90969,1000,2.605469,0.050526363284067434
19,-65.58428,570,1.480469,0.05029767182713756
20,-137.33263,764,2.123047,0.05013865538754519
21,-141.82022,358,0.982422,0.05009693024813743
22,-19.144646,592,1.613281,0.05005362372648671
23,-44.36377,1000,2.853516,0.05001972706653346
24,-72.13769,1000,2.675781,0.050007257182212286
25,-42.31562,1000,2.632812,0.050002669768136734
26,112.58746,780,2.267578,0.05000122383776267
27,94.94234,930,2.689453,0.050000482869730155
28,-19.342472,1000,2.908203,0.05000017763784649
29,-46.212452,1000,2.638672,0.0500000653493117
30,143.82834,897,2.322266,0.05000002664887425
31,240.23036,563,1.490234,0.05000001517648071
32,-42.764996,81,0.210938,0.05000001399565477
33,-85.291855,226,0.623047,0.05000001116458715
34,-18.913048,163,0.457031,0.05000000948533487
35,-63.33926,210,0.589844,0.050000007688663015
36,-11.751183,163,0.439453,0.050000006532220344
37,-40.018158,166,0.464844,0.05000000553309265
38,210.99213,472,1.246094,0.050000003451285975
39,138.30278,836,2.205078,0.05000000149592824
40,-46.595264,90,0.246094,0.050000001367175466
41,3.3169632,301,0.808594,0.050000001011816175
42,-46.424366,278,0.732422,0.050000000766245174
43,181.31583,470,1.263672,0.050000000478904974
44,-33.83293,84,0.240234,0.0500000004403202
45,-38.08949,79,0.224609,0.05000000040687345
46,-92.61773,199,0.576172,0.05000000033345309
47,-62.15965,86,0.25,0.05000000030597463
48,-45.715637,257,0.792969,0.05000000023663106
49,175.4444,253,0.753906,0.05000000018373642
50,-45.90421,78,0.248047,0.05000000016994965
51,-65.80116,270,0.765625,0.05000000012973608
52,-63.424484,101,0.3125,0.05000000011727273
53,-39.18575,115,0.308594,0.05000000010453294
54,181.7818,388,1.167969,0.050000000070916435
55,-40.894104,116,0.363281,0.05000000006314933
56,-43.811638,232,0.652344,0.05000000005007402
57,216.48645,619,1.740234,0.05000000002696399
58,57.04678,1000,2.78711,0.0500000000099195
59,53.89006,265,0.691406,0.0500000000076103
60,205.526,357,0.978516,0.05000000000532548
61,1.1455536,212,0.566406,0.050000000004308126
62,1.0091934,272,0.724609,0.05000000000328216
63,45.84225,1000,2.697266,0.05000000000120744
64,285.39288,502,1.351562,0.05000000000073089
