episode,score,epsilon
0,-95.14542594315193,0.9958773029159748
1,-369.67264026680994,0.9305297396684392
2,-91.08702572915836,0.8955094004027565
3,-308.69450357990235,0.8372417595266081
4,-272.02207094165067,0.7972181996008229
5,-341.8795319613506,0.7533061373674925
6,-631.7418493014334,0.7172950414225923
7,-410.07223269782975,0.6730020969572946
8,-342.0451729017367,0.6495877938179065
9,-472.57825734932027,0.6159848245146442
10,-521.1952123836679,0.5882716002613706
11,-348.9882926282352,0.5641309379544287
12,-276.8900391365547,0.5448258002799191
13,-562.965837651157,0.5175576721754142
14,-448.17353127029526,0.4954409023701124
15,-490.7630524518077,0.46704736015269976
16,-527.2548410548934,0.42146653088677327
17,-446.0790601188121,0.39520767672537604
18,-498.97392778438444,0.37454259912279086
19,-475.54881252065786,0.3581143371088501
20,-447.86273272329623,0.3377902278256403
21,-576.2271770660282,0.3182437151573437
22,-454.32783236144223,0.2873547073083033
23,-143.0208890993795,0.2754000671389575
24,-316.8397886904447,0.25839412233926623
25,-163.54508889660198,0.2470603879266956
26,-129.41752192790238,0.23902855974754958
27,-113.84774313062144,0.23166765275036857
28,-149.66428664386999,0.2222919537969589
29,-120.31745701527888,0.2144316423386778
30,-162.33156674104708,0.20746056080719677
31,-89.02819465241502,0.20107179330887923
32,-97.04229941054979,0.194649878217856
33,-115.5028741263932,0.1886556168957467
34,-119.12709399794122,0.18295389221169633
35,-150.92185946283072,0.1758607519927499
36,-122.58984179291427,0.16884320207068476
37,-73.37590679384158,0.1635471100104457
38,-173.31047299304726,0.15711362086762015
39,-122.04279006404865,0.15146861595106673
40,-82.41472022815537,0.1468907912319417
41,-169.05239798403767,0.1401993920841072
42,-371.15257657480686,0.130768043385364
43,-432.24460402410585,0.11772767277944575
44,-393.17687164265556,0.11150596425602297
45,-386.35955185272616,0.10661506746296018
46,-515.384141680197,0.09346770907201916
47,-288.8153675152698,0.08899957258383805
48,-315.19306112823017,0.08469503161667653
49,-456.7226854298362,0.07629413917006854
50,-204.9500210005409,0.07095207902053016
51,-287.44036987467246,0.06078719065425792
52,-175.5043863661308,0.05815524239459072
53,-152.18158165009294,0.052263305670861945
54,-129.016710569508,0.05056424782211002
55,-425.7227143782556,0.04584544546002366
56,-241.3506296703164,0.04291306636524824
57,-394.43993315505816,0.039207957228095794
58,-344.77828425656094,0.035256445915116306
59,-415.5396507170479,0.03282653909709485
60,-486.5882882558408,0.030927004091455525
61,-448.4811365315159,0.02867677133509816
62,-276.48817908722765,0.027532453048229936
63,-256.6922518242385,0.026185363762731995
64,-424.4256972849559,0.02462648553022695
65,-206.380309783561,0.02350466133070362
66,-456.46531972564196,0.02211842168636278
67,-524.6736094929074,0.021160743911860614
68,-338.9265259053675,0.019219961137800216
69,-169.80006999383875,0.018193478188170478
70,-252.81122771644573,0.0169295725221017
71,-228.43014849461045,0.015367784314698912
72,-343.812410414822,0.013876173993079829
73,-303.2868331210549,0.012316725017085703
74,-313.96236266304174,0.011173885083199065
75,-207.93762941892743,0.010514880374911467
76,-299.0978139851916,0.01
77,-297.33343568299864,0.01
78,-379.96169160344454,0.01
79,-208.90697495153358,0.01
80,-310.36888776074807,0.01
81,-192.27784600637543,0.01
82,-275.62449778500365,0.01
83,-144.5684315812971,0.01
84,-247.6096443085708,0.01
85,-380.74864290971465,0.01
86,-351.5768613595878,0.01
87,-518.4673862861578,0.01
88,-289.88230452019013,0.01
89,-299.45065113315337,0.01
90,-303.6241758574368,0.01
91,-340.3488149854719,0.01
92,-326.60783658894377,0.01
93,-309.2574112430036,0.01
94,-229.4348909169035,0.01
95,-294.49933827206564,0.01
96,-335.2777393110802,0.01
97,-728.8299906772796,0.01
98,-772.5720001766895,0.01
99,-199.3495782987257,0.01
100,-725.5997171381968,0.01
101,-193.46775692056633,0.01
102,-99.46978517472692,0.01
103,-150.69694992705098,0.01
104,-301.65190669397134,0.01
105,-269.34795199303403,0.01
106,-201.3926425121173,0.01
107,-186.36026888558945,0.01
108,-112.60296638241597,0.01
109,-122.38451440546973,0.01
110,-217.4148417043027,0.01
111,-218.52489121605032,0.01
112,-168.00574734967932,0.01
113,-141.25069619008423,0.01
114,-185.4252030474118,0.01
115,-188.2761456908644,0.01
116,-270.48785957292785,0.01
117,-155.9365633590151,0.01
118,-120.89916079400051,0.01
119,-144.87384166439594,0.01
120,-145.2052287746623,0.01
121,-123.95404949074566,0.01
122,-143.0159066441503,0.01
123,-155.1711274808326,0.01
124,-154.12672530636092,0.01
125,-157.11409362813274,0.01
126,-122.90936277531351,0.01
127,-118.57220451889631,0.01
128,-132.94307353712597,0.01
